time,temp,salt,BIV_filtfrac,BIV_net_c,Uorb,Taub
2011-07-01 06:00:00,    5.089039,    0.518269,    0.048110,  -23.044786,-9999.000000,-9999.000000
2011-07-01 12:00:00,    5.095509,    0.518269,    0.091632,  -21.917976,-9999.000000,-9999.000000
2011-07-01 18:00:00,    5.073692,    0.501010,    0.030080,  -22.650068,-9999.000000,-9999.000000
2011-07-01 24:00:00,    4.953294,    0.501028,    0.036920,  -19.596873,-9999.000000,-9999.000000
2011-07-02 06:00:00,    4.836872,    0.502083,    0.042516,  -16.633413,-9999.000000,-9999.000000
2011-07-02 12:00:00,    4.790637,    0.502111,    0.047643,  -15.155344,-9999.000000,-9999.000000
2011-07-02 18:00:00,    4.823640,    0.502141,    0.053232,  -15.174585,-9999.000000,-9999.000000
2011-07-02 24:00:00,    4.729191,    0.502158,    0.057606,  -12.935246,-9999.000000,-9999.000000
2011-07-03 06:00:00,    4.648330,    0.502681,    0.061149,  -11.014578,-9999.000000,-9999.000000
2011-07-03 12:00:00,    4.666838,    0.502060,    0.064786,  -10.821777,-9999.000000,-9999.000000
2011-07-03 18:00:00,    4.752376,    0.501283,    0.071891,  -11.620125,-9999.000000,-9999.000000
2011-07-03 24:00:00,    4.662924,    0.500513,    0.072203,   -9.810345,-9999.000000,-9999.000000
2011-07-04 06:00:00,    4.556874,    0.501597,    0.074551,   -7.862015,-9999.000000,-9999.000000
2011-07-04 12:00:00,    4.504192,    0.500638,    0.076636,   -6.785039,-9999.000000,-9999.000000
2011-07-04 18:00:00,    4.478484,    0.498909,    0.078652,   -6.125208,-9999.000000,-9999.000000
2011-07-04 24:00:00,    4.313158,    0.498951,    0.079743,   -3.832981,-9999.000000,-9999.000000
2011-07-05 06:00:00,    4.068085,    0.500553,    0.079519,   -0.795662,-9999.000000,-9999.000000
2011-07-05 12:00:00,    3.860827,    0.500211,    0.079310,    0.000000,-9999.000000,-9999.000000
2011-07-05 18:00:00,    3.514626,    0.499779,    0.079265,    0.000000,-9999.000000,-9999.000000
2011-07-05 24:00:00,    3.185564,    0.499869,    0.079265,    0.000000,-9999.000000,-9999.000000
2011-07-06 06:00:00,    2.923172,    0.501531,    0.078998,    0.000000,-9999.000000,-9999.000000
2011-07-06 12:00:00,    2.819906,    0.501416,    0.078986,    0.000000,-9999.000000,-9999.000000
2011-07-06 18:00:00,    2.832271,    0.501233,    0.078969,    0.000000,-9999.000000,-9999.000000
2011-07-06 24:00:00,    2.832271,    0.501233,    0.078969,    0.000000,-9999.000000,-9999.000000
2011-07-07 06:00:00,    2.864497,    0.513965,    0.076841,    0.000000,-9999.000000,-9999.000000
2011-07-07 12:00:00,    2.855813,    0.508593,    0.077739,    0.000000,-9999.000000,-9999.000000
2011-07-07 18:00:00,    2.592460,    0.502939,    0.078680,    0.000000,-9999.000000,-9999.000000
2011-07-07 24:00:00,    2.400217,    0.502994,    0.078680,    0.000000,-9999.000000,-9999.000000
2011-07-08 06:00:00,    2.269104,    0.504937,    0.078362,    0.000000,-9999.000000,-9999.000000
2011-07-08 12:00:00,    2.208856,    0.504982,    0.078362,    0.000000,-9999.000000,-9999.000000
2011-07-08 18:00:00,    2.186725,    0.504776,    0.078342,    0.000000,-9999.000000,-9999.000000
2011-07-08 24:00:00,    1.962815,    0.504817,    0.078338,    0.000000,-9999.000000,-9999.000000
2011-07-09 06:00:00,    1.769767,    0.506549,    0.077988,    0.000000,-9999.000000,-9999.000000
2011-07-09 12:00:00,    1.704138,    0.505643,    0.077916,    0.000000,-9999.000000,-9999.000000
2011-07-09 18:00:00,    1.735195,    0.505649,    0.077916,    0.000000,-9999.000000,-9999.000000
2011-07-09 24:00:00,    1.627595,    0.505668,    0.077916,    0.000000,-9999.000000,-9999.000000
2011-07-10 06:00:00,    1.545260,    0.507748,    0.077573,    0.000000,-9999.000000,-9999.000000
2011-07-10 12:00:00,    1.516028,    0.506970,    0.077513,    0.000000,-9999.000000,-9999.000000
2011-07-10 18:00:00,    1.535725,    0.506980,    0.077513,    0.000000,-9999.000000,-9999.000000
2011-07-10 24:00:00,    1.448265,    0.506991,    0.077513,    0.000000,-9999.000000,-9999.000000
2011-07-11 06:00:00,    1.382928,    0.509271,    0.077139,    0.000000,-9999.000000,-9999.000000
2011-07-11 12:00:00,    1.345445,    0.508491,    0.077079,    0.000000,-9999.000000,-9999.000000
2011-07-11 18:00:00,    1.385426,    0.508499,    0.077079,    0.000000,-9999.000000,-9999.000000
2011-07-11 24:00:00,    1.298401,    0.508509,    0.077079,    0.000000,-9999.000000,-9999.000000
2011-07-12 06:00:00,    1.219519,    0.510932,    0.076681,    0.000000,-9999.000000,-9999.000000
2011-07-12 12:00:00,    1.187408,    0.510149,    0.076622,    0.000000,-9999.000000,-9999.000000
2011-07-12 18:00:00,    1.235589,    0.510156,    0.076622,    0.000000,-9999.000000,-9999.000000
2011-07-12 24:00:00,    1.149754,    0.510165,    0.076622,    0.000000,-9999.000000,-9999.000000
2011-07-13 06:00:00,    1.072281,    0.512651,    0.076215,    0.000000,-9999.000000,-9999.000000
2011-07-13 12:00:00,    1.044787,    0.511864,    0.076156,    0.000000,-9999.000000,-9999.000000
2011-07-13 18:00:00,    1.099212,    0.511871,    0.076156,    0.000000,-9999.000000,-9999.000000
